Tissue,Dice,Jaccard,mPQ,bPQ
adrenal_gland,0.735761,0.612873,0.252104,0.490648
bile-duct,0.721869,0.598398,0.23306,0.509107
bladder,0.694944,0.599549,0.353502,0.510461
breast,0.791958,0.666698,0.221301,0.517787
cervix,0.674114,0.626124,0.182902,0.541934
colon,0.634559,0.535683,0.127168,0.364431
esophagus,0.769747,0.6489,0.276389,0.466594
headneck,0.589799,0.514718,0.203566,0.403279
kidney,0.710277,0.586977,0.170539,0.538948
liver,0.791317,0.664722,0.228182,0.555788
lung,0.77408,0.634025,0.201539,0.464289
ovarian,0.812512,0.689371,0.262247,0.503775
pancreatic,0.792885,0.663304,0.160371,0.519961
prostate,0.751535,0.622322,0.322578,0.49917
skin,0.680883,0.556072,0.175,0.426964
stomach,0.810227,0.68457,0.225766,0.530884
testis,0.767352,0.645489,0.189032,0.541216
thyroid,0.774546,0.654973,0.153758,0.550535
uterus,0.78132,0.646524,0.238796,0.469312
